Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign,Audience,
NAM,US,PI: SF,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009K2lIAE/view,Event-Hosted | 2023-09-13 | Innovators in Performance Marketing - SF,9/13/2023,9/13/2023,impact.com Hosted,Event-Hosted Splash,"$3,000.00",2489.00,Affiliate/Partnerships,
NAM,US,PI: NYC,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009OIcIAM/view,Event-Hosted | PC - 20231102 | PI: NYC VIP dinner,11/2/2023,11/2/2023,impact.com Hosted,Event-Hosted Splash,"$3,000.00",,Affiliate/Partnerships,
NAM,US,DMFS- NYC 23,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009OIXIA2/view,Event-Tradeshow | PC - 20231102 | DMFS (Digital Mkting for Finserv Summit- NYC),11/2/2023,11/3/2023,External,Event-Tradeshow,"$20,000.00",20358.00,Affiliate/Partnerships,
NAM,US,Austin VIP Dinner,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009KlzIAE/view,Event-Hosted | 2023-10-03 | impact Austin VIP Dinner,10/3/2023,10/3/2023,Impact.com Hosted,Event-Hosted,"$50,000.00",13814.00,Affiliate/Partnerships,
NAM,US,Seattle VIP Dinner,,Event-Hosted | PC - 20230926 | impact Seattle VIP Dinner,10/18/2023,10/18/2023,Impact.com Hosted,Event-Hosted,"$50,000.00",,Affiliate/Partnerships,
NAM,US,CMO Network Event,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009LNuIAM/view,Event-Tradeshow | PC - 20230913 | CMO Network Event,9/13/2023,9/14/2023,External,Event-Tradeshow,"$16,000.00",15950.00,Affiliate/Partnerships,
NAM,US,Digiday Publishing Summit - Vail,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009943IAA/view,Event-Tradeshow | 20230327 | Digiday - Supply Side,3/27/2023,3/29/2023,External,Event-Tradeshow,"$60,000.00",66790.00,TRX/Pressboard,
NAM,US,Digiday Publshing Summit - Miami Hosted Brunch,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009MHHIA2/view,Event-Hosted | 20230918 | Digiday Publishing Summit - Miami - Supply Side,9/18/2023,9/18/2023,Impact.com Hosted,Event-Hosted,"$6,000.00",5617.00,TRX/Pressboard,
NAM,US,IMS 2023,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009FFhIAM/view,Event-Tradeshow | PC - 20230613 | IMS - Influencer Marketing Show,6/20/2023,6/21/2023,External,Event-Tradeshow,"$18,000.00",16500.00,Influencer,
NAM,US,Afternoon Tea,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009L6lIAE/view,Event-Hosted | PC - 20231102 | CMO Afternoon Tea,11/2/2023,11/2/2023,Impact.com Hosted,Event-Hosted,"$14,000.00",8265.00,Affiliate/Partnerships,
NAM,US,Affiliate Summit West 2024,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009PLJIA2/view,Event-Tradeshow | 2024-01-15 | ASW 2024,1/15/2024,1/16/2024,External,Event-Tradeshow,"$25,000.00",24964.00,Affiliate/Partnerships,
NAM,US,TopGolf Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Q2jIAE/view,Event-Hosted | PC - 20240116 | Topgolf Happy Hour at ASW 2024,1/16/2024,1/16/2024,Impact.com Hosted,,"$75,000.00",102875.00,,
NAM,US,Creator Economy Live 2024,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Q1CIAU/vie,Event-Tradeshow | PC - 20240116 | Creator Economy Live,1/16/2024,1/17/2024,External,Event-Tradeshow,"$25,000.00",25000.00,Influencer,
NAM,US,PI: Vegas/ ASW,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Pn4IAE/view,Event-Hosted | PC - 20240115 | PI: Las Vegas,1/15/2024,1/15/2024,Impact.com Hosted,Event-Hosted,,,Affiliate/Partnerships,
NAM,US,eTail West 24,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009SPcIAM/view,Event-Tradeshow | 2024-02-26 | eTail West 2024,2/26/2024,2/29/2024,External,Event-Tradeshow,"$50,000.00",46415.00,Affiliate/Partnerships,
NAM,US,PI Live Miami,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007fjZqYAI/view,Event-Tradeshow | PC - 20240416 | PI Live Miami,4/16/2024,4/18/2024,External,Event-Tradeshow,"$26,000.00",25720.00,Affiliate/Partnerships,
NAM,US,Palm Springs Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007PB98YAG/view,Event-Hosted | PC - 20240226 | impact Palm Springs Happy Hour,2/26/2024,2/26/2024,Impact.com Hosted,Event-Hosted,"$20,000.00",18831.00,,
NAM,US,Partnerships IRL: Los Angeles,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000008vIWfYAM/view,Event-Hosted | 20240410 | Partnerships IRL - Los Angeles,4/10/2024,4/10/2024,Impact.com Hosted,Event-Hosted,"$32,000.00",,,
NAM,US,iPX24 NYC,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007uZTQYA2/view,Event-Hosted | 2024-06-17 | impact.com's Partnerships Experience 2024 (iPX24),6/17/2024,6/18/2024,Impact.com Hosted,Event-Hosted,"$1,200,000.00",,Affiliate/Partnerships,
NAM,US,Convergence Webinar,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Sf5IAE/view,Event-Webinar | PC - 20240306 | Convergence Webinar,02/06/2024,3/12/2024,Impact.com Hosted,Event-Hosted,"$5,400.00",,Influencer,
NAM,US,NYC Vip Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000AYMetYAH/view,Event-Hosted | PC - 20240508 | NYC VIP Happy Hour,5/8/2024,5/8/2024,Impact.com Hosted,Event-Hosted,"$23,500.00",17744.00,,
NAM,US,Masterclassing Creator: Toronto,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000C3uMzYAJ/view,Event-Tradeshow | PC - 20240604 | Masterclassing: Creator - Toronto,6/4/2024,6/4/2024,External,Event-Tradeshow,"$6,250.00",6250.00,Influencer,
NAM,US,The Lead Summit,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000Fm1PiYAJ/view,Event-Tradeshow | PC - 20240708 | The Lead Summit,7/9/2024,7/10/2024,External,Event-Tradeshow,,,,
NAM,US,NYC Summer Happy Hour,https://impactradius.lightning.force.com/lightning/r/Dashboard/01ZK50000004cQfMAI/view,Event-Hosted | PC - 20240508 | NYC VIP Happy Hour,7/29/2024,7/29/2024,Impact.com Hosted,Event-Hosted,"$22,500.00",17744.00,Affiliate/Partnerships,
NAM,US,Masterclassing Creator: New York,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000LVVjVYAX/view,Event - Tradeshow | PC - 20251119 | Masterclassing Creator: New York,11/19/2024,11/19/2024,External,Event-Tradeshow,"$7,000.00",7000.00,Influencer,
NAM,US,Marketing Dive - The Influencer + Affiliate Form,,Event-Webinar | 20241015 | Marketing Dive - The Influencer + Affiliate Form,,,Impact.com Hosted,Event-Hosted,,,,
NAM,US,Affiliate Summit West 2025,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000KsO6iYAF/view,Event-Tradeshow | PC - 20250203 | ASW 2025 (Affiliate Summit West),2/3/2025,2/5/2025,External,Event-Tradeshow,"$35,000.00",32676.00,Affiliate/Partnerships,
NAM,US,Partnerships IRL: Brooklyn,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000HqE0RYAV/view,Event-Hosted | PC - 20241009 | Partnerships IRL: Brooklyn,10/9/2024,10/9/2024,Impact.com Hosted,Event-Hosted,"$38,000.00",36289.00,Influencer,
NAM,US,Vegas VIP Dinner,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000Kaw8UYAR/view,Event-Hosted | PC - 20241028 | Las Vegas VIP Dinner,10/28/2024,10/28/2024,Impact.com Hosted,Event-Hosted,"$22,000.00",21057.00,Affiliate/Partnerships,
NAM,US,TopGolf Happy Hour 2025,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000LfVlJYAV/view,Event-Hosted | PC - 20250204 | TopGolf Happy Hour,2/4/2025,2/5/2025,Impact.com Hosted,Event-Hosted,"$110,000.00",103919.00,,
NAM,US,The Future of impact.com for Publishers,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000MIFC8YAP/view,Event-Hosted | PC - 20250204 | The Future of impact for Publishers,2/4/2025,2/4/2025,Impact.com Hosted,Event-Hosted,N/A,N/A,Publishers,
NAM,US,PI Live USA,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000PO6U5YAL/view,Event-Tradeshow | PC - 20250422 | PI Live USA,4/22/2025,4/25/2025,External,Event-Tradeshow,"$21,000.00",18306.00,Affiliate/Partnerships,
NAM,US,VIP Dinner in Boston,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000PVdegYAD/view,Event-Hosted | PC - 20250326 | VIP Dinner in Boston,3/26/2025,3/26/2025,Impact.com Hosted,Event-Hosted,"$22,000.00",6421.00,,
NAM,US,iPX2025 Austin,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000KHf9lYAD/view,Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25),6/9/2025,9/11/2025,Impact.com Hosted,Event-Hosted,"$1,418,000.00",,,
NAM,US,Partnership Titans,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000SOQR4YAP/view,Event-Hosted | PC - 20251007 | Partnership Titans,10/6/2025,10/9/2025,,,$0.00,0.00,,
EMEA,Germany,Digital Bash Affiliate,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097DeIAI/view,Event-Webinar | 2023-02-28 | Digital Bash Affiliate,2/28/2023,2/28/2023,External,Event-Webinar,,,,TRUE
EMEA,France,LesBig Boss GMS & GSS,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098wCIAQ/view,Event-Tradeshow | PC - 20230308 | LesBigBoss - France,3/8/2023,3/8/2023,External,Event-Tradeshow,$0.00,0.00,,TRUE
EMEA,Italy,Mediakey Awards night,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000099TIIAY/view,Event-Tradeshow | PC - 20230418 | Mediakey Awards night - Italy,4/17/2023,4/17/2023,External,Event-Tradeshow,"$2,000.00",2000.00,,TRUE
EMEA,France,"LesBig Boss Mode, Beauté & Luxe",https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009ADTIA2/view,Event-Tradeshow | PC - 20230308 | LesBigBoss - France,3/21/2023,3/21/2023,External,Event-Tradeshow,"$3,237.00",3237.00,,TRUE
EMEA,France,LesBig Boss Opus Summer,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009FPAIA2/view,Event-Tradeshow | PC - 20230609 | LesBigBoss - France,6/9/2023,6/11/2023,External,Event-Tradeshow,"$25,694.00",25694.00,,TRUE
EMEA,Italy,Web marketing Festival - We make future,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000099pkIAA/view,Event-Tradeshow | PC - 20230615 | WMF Rimini - Italy,6/15/2023,6/17/2023,External,Event-Tradeshow,"$12,000.00",12000.00,,TRUE
EMEA,Italy,Netcomm Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098tgIAA/view,Event-Tradeshow | PC - 20230517 | Netcomm Forum - Italy,5/17/2023,5/18/2023,External,Event-Tradeshow,"$25,000.00",26115.00,,TRUE
EMEA,Germany,Digital Bash Affiliate,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097DeIAI/view,Event-Webinar | 2023-02-28 | Digital Bash Affiliate,2/28/2023,2/28/2023,External,Event-Webinar,,,Affiliate/Partnerships,TRUE
EMEA,Germany,OMR 23.000,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098SrIAI/view,Event-Tradeshow | 2023-05-09 | impact.com at OMR23,5/9/2023,5/10/2023,External,Event-Tradeshow,,,,TRUE
EMEA,France,Opening Party,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009BJCIA2/view,Event-Hosted | 2023-05-25 | arrive en France,5/25/2023,5/25/2023,Impact.com Hosted,Event-Hosted Splash,"$10,000.00",10232.00,,TRUE
EMEA,Italy,Own The City,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009A7CIAU/view,Event-Hosted | 2023-04-17 | Design week exclusive experience & aperitivo,4/17/2023,4/17/2023,Impact.com Hosted,Event-Hosted Splash,"$2,000.00",2000.00,,TRUE
EMEA,Germany,Exklusives Whisky-Tasting mit impact.com,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000098hiIAA/view,Event-Hosted | 2023-03-23 | Exklusives Whisky-Tasting mit impact.com,3/23/2023,3/23/2023,Impact.com Hosted,Event-Hosted,,,Affiliate/Partnerships,TRUE
EMEA,UK,Performance Marketing World,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000096TWIAY/view,Event-Tradeshow | PC - 20230301 | PMW Unlocked - London,3/1/2023,3/2/2023,External,Event-Tradeshow,"$18,000.00",19766.00,,TRUE
EMEA,UK,Leaders in Mobile Growth Summit,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000096TgIAI/view,Event-Tradeshow | PC - 20230209 | Leaders in Mobile Growth Summit - London,,7/2/2023,External,Event-Tradeshow,"$3,767.00",3767.00,,TRUE
EMEA,UK,AffiliateHuddle,https://impactradius.lightning.force.com/lightning/r/Campaign/701K5000000982IIAQ/view,Event-Tradeshow | PC - 20230419 | AffiliateHuddle UK,4/19/2023,4/19/2023,External,Event-Tradeshow,"$32,000.00",26308.00,Affiliate/Partnerships,TRUE
EMEA,UK,Own The City,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009APLIA2/view,Event-Hosted | PC - 20230427 | Own The City - London,4/27/2023,4/27/2023,Impact.com Hosted,Event-Hosted,"$2,000.00",1760.00,,TRUE
EMEA,UK,Influencer & CP,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009APQIA2/view,Event-Hosted | PC - 20230517 | Breakfast Briefing - CP & Influencer,5/27/2023,5/27/2023,Impact.com Hosted,Event-Hosted,,,,TRUE
EMEA,UK,Digital Marketing World Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009DAcIAM/view,Event-Tradeshow | PC - 20230621 | Digital Marketing World Forum - London,6/21/2023,6/21/2023,External,Event-Tradeshow,"$22,000.00",12122.00,,TRUE
EMEA,UK,iPX2023 London,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009CoJIAU/view,Event-Hosted | 2023-06-28 | iPX2023 London,6/28/2023,6/28/2023,Impact.com Hosted,Event-Hosted,"$70,000.00",86533.00,,TRUE
EMEA,UK,Own The City - Manchester,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009KcBIAU/view,Event-Hosted | PC - 20230906 | Own The City - Manchester,9/6/2023,9/6/2023,Impact.com Hosted,Event-Hosted,"$2,000.00",2440.00,,TRUE
EMEA,UK,Cretor Event London,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009KHjIAM/view,Event-Hosted | 2023-09-13 | Creators' Connect London,9/13/2023,9/13/2023,Impact.com Hosted,Event-Hosted,"$10,000.00",8389.00,,TRUE
EMEA,UK,Breakfast Briefing,,,,,#N/A,,,,,FALSE
EMEA,UK,Own The City,,,,,#N/A,,,,,FALSE
EMEA,UK,PI Live,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009J1HIAU/view,Event-Tradeshow | PC - 20231024 | PI LIVE Europe,10/24/2023,10/25/2023,External,Event-Tradeshow,"$50,000.00",,,TRUE
EMEA,UK,IMS,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Id6IAE/view,Event-Tradeshow | PC - 20231026 | IMS London - Influencer Marketing Show,10/26/2023,10/26/2023,External,Event-Tradeshow,"$20,000.00",,,TRUE
EMEA,UK,VIP Dinner,,,,,#N/A,,,,,FALSE
EMEA,UK,Own The City,,,,,#N/A,,,,,FALSE
EMEA,UK,Breakfast Briefing,,,,,#N/A,,,,,FALSE
